B19301_001E,B01003_001E,state,county,tract
45908.0,5141.0,41,039,000100
51084.0,5414.0,41,039,000200
43074.0,2628.0,41,039,000300
35554.0,3709.0,41,039,000402
27894.0,5650.0,41,039,000403
48144.0,4546.0,41,039,000404
28985.0,2094.0,41,039,000500
34036.0,2425.0,41,039,000702
27171.0,3787.0,41,039,000705
46158.0,3383.0,41,039,000706
35299.0,4114.0,41,039,000707
35362.0,2454.0,41,039,000708
46275.0,1498.0,41,039,000800
35156.0,4566.0,41,039,000902
34472.0,5593.0,41,039,000903
28348.0,3047.0,41,039,000904
34674.0,2544.0,41,039,001001
40786.0,3768.0,41,039,001002
37783.0,6401.0,41,039,001101
35314.0,3949.0,41,039,001102
28658.0,4072.0,41,039,001201
26788.0,4352.0,41,039,001202
24808.0,3611.0,41,039,001301
23056.0,5247.0,41,039,001302
26660.0,2764.0,41,039,001400
20601.0,4769.0,41,039,001500
35149.0,5283.0,41,039,001600
35148.0,5169.0,41,039,001700
34800.0,5768.0,41,039,001801
26278.0,4253.0,41,039,001803
33911.0,4525.0,41,039,001804
20547.0,6090.0,41,039,001902
24027.0,2935.0,41,039,001903
24627.0,5813.0,41,039,001904
31337.0,3436.0,41,039,002001
31688.0,4925.0,41,039,002002
25817.0,2847.0,41,039,002101
23331.0,4191.0,41,039,002103
22174.0,2460.0,41,039,002104
44903.0,4043.0,41,039,002201
51015.0,4412.0,41,039,002203
69082.0,3147.0,41,039,002204
33251.0,4378.0,41,039,002301
34253.0,4484.0,41,039,002302
42441.0,4272.0,41,039,002401
34504.0,4092.0,41,039,002403
31835.0,3659.0,41,039,002404
24633.0,5529.0,41,039,002501
24469.0,3126.0,41,039,002504
34758.0,4163.0,41,039,002505
30477.0,3634.0,41,039,002506
25423.0,6173.0,41,039,002600
28367.0,4252.0,41,039,002700
27117.0,5088.0,41,039,002800
29247.0,4446.0,41,039,002902
45800.0,3107.0,41,039,002903
48736.0,4237.0,41,039,002904
43929.0,4659.0,41,039,003000
41098.0,7187.0,41,039,003101
41769.0,3159.0,41,039,003103
28964.0,4826.0,41,039,003104
22968.0,2954.0,41,039,003201
32350.0,4387.0,41,039,003202
27901.0,3021.0,41,039,003301
27526.0,3527.0,41,039,003302
24125.0,5128.0,41,039,003400
30074.0,4762.0,41,039,003500
40086.0,3920.0,41,039,003600
12810.0,5520.0,41,039,003700
13891.0,3222.0,41,039,003801
14890.0,5560.0,41,039,003802
22859.0,3553.0,41,039,003900
26569.0,2754.0,41,039,004000
30391.0,4491.0,41,039,004100
22914.0,3223.0,41,039,004200
24647.0,7161.0,41,039,004300
28316.0,5184.0,41,039,004403
46332.0,3268.0,41,039,004404
56876.0,4564.0,41,039,004405
33355.0,3554.0,41,039,004406
35384.0,2975.0,41,039,004407
33129.0,2539.0,41,039,004501
25861.0,3518.0,41,039,004502
33684.0,2830.0,41,039,004600
43910.0,4108.0,41,039,004700
26666.0,5150.0,41,039,004800
40551.0,5074.0,41,039,004900
49970.0,5046.0,41,039,005000
39493.0,3548.0,41,039,005100
55902.0,2254.0,41,039,005200
45095.0,2601.0,41,039,005300
53737.0,5842.0,41,039,005400
-666666666.0,0.0,41,039,990000
